Full Name,Work Time,Hourly Salary,Id
Beret Vinter,47,132.1,554-48-0289,6208.7
Frants Tamas,4,141.7,417-73-3124,566.8
Lamar Skentelbery,14,80.3,358-10-7775,1124.2
Judi Sapsed,7,147.2,434-62-3860,1030.4
Torrence Forward,58,160,207-12-3281,9280
Georgeanne Saveall,26,141.1,657-13-1262,3668.6
Clarey McCarry,16,32.1,832-15-0676,513.6
Thane Borchardt,53,49.9,356-42-6829,2644.7
Perri Winson,90,135,719-17-8805,12150
Brittne Joly,71,66.8,363-84-8779,4742.8
Anestassia Bestwall,48,9.1,614-61-1988,436.8
Mauricio Cluelow,78,13.6,832-49-8603,1060.8
Allistir Belli,62,23.3,793-46-7930,1444.6
Rory Fermer,18,123.9,466-03-3275,2230.2
Ailey Kisby,14,101.5,728-84-6266,1421
Cherice Patrie,97,14,826-35-0109,1358
Turner Follet,27,50.4,819-56-9495,1360.8
Martie Atley,60,119,352-70-9217,7140
Ranna Lamort,51,44.5,537-68-5283,2269.5
Sherwood Pentony,48,114.6,876-49-9671,5500.8
Orsola Hardy-Piggin,41,117.9,453-02-0950,4833.9
Madeleine Ramelet,58,76.5,323-80-7942,4437
Angus Pountney,37,76,262-80-7634,2812
Orton Spread,76,151.8,391-54-5304,11536.8
Gabie Emnoney,7,159.3,577-92-3524,1115.1
Vinita Plampin,93,17.8,531-97-2784,1655.4
Mechelle Molfino,88,139.2,624-99-2617,12249.6
Ragnar Cawthry,29,131.1,215-53-8577,3801.9
Fifine Prinett,85,8.2,314-79-1820,697
Calley Schaben,3,113.2,396-02-1148,339.6
Kate Blackborne,21,111.4,219-50-0083,2339.4
Lenee Huskinson,90,133.4,445-75-3434,12006
Birch Shegog,5,136.4,562-19-6495,682
Gillan Gowler,23,135.5,210-92-3169,3116.5
Joletta Wicks,7,151.7,802-43-7325,1061.9
Zebulon Loffel,25,101.3,213-66-2657,2532.5
Erin Ferrulli,97,88.6,359-66-6870,8594.2
Corena Brobak,52,130.8,783-93-0706,6801.6
Stacee Shotbolt,43,57.3,658-05-5778,2463.9
Jeanelle Peat,95,126.4,819-90-2089,12008
Bonny Barensen,46,95.9,151-16-4351,4411.4
Merilyn Setterthwait,75,104.4,222-85-9109,7830
Garold Jouannin,80,119.9,276-17-8383,9592
Germaine Collyear,84,62,802-26-5993,5208
Sanderson Bowdrey,68,12.4,812-20-2493,843.2
Rania Dymidowicz,66,113.4,621-34-9964,7484.4
Stormie Foyston,81,5.2,188-76-4284,421.2
Chloris Littlefield,53,113.7,386-12-5865,6026.1
Christina Bock,96,4.2,182-43-6856,403.2
Rhona Acutt,63,29,626-52-2008,1827
Meredith Iacobassi,82,65,278-94-1313,5330
Jo-ann Worsfield,16,42.3,514-07-4911,676.8
Renaud Andrelli,48,151.6,431-11-8504,7276.8
Jackson Hubbucke,26,3.5,578-94-5732,91
Rosalynd Leheude,2,126.2,478-99-4826,252.4
Brunhilda Prothero,94,73.2,455-30-4069,6880.8
Sadie Wiltsher,6,46.5,532-87-5849,279
Faulkner Hubbucks,81,93.7,399-57-0490,7589.7
Linnea Celez,49,39.7,510-13-5817,1945.3
Marijn Whitters,79,0.9,361-49-6522,71.1
Freddi Jellard,58,35.1,620-65-8806,2035.8
Darill Glewe,60,85.5,261-39-9686,5130
Gerardo Baddow,79,58.6,890-66-9962,4629.4
Bailey Haggett,81,21.4,891-21-5252,1733.4
Clyde Glandon,46,21.3,877-25-8305,979.8
Ban Pickthall,95,60.9,387-08-9737,5785.5
Claudie Wilcher,70,106.7,576-01-5735,7469
Shayne Jovicic,42,59.1,790-40-6938,2482.2
Boothe Forcer,57,33.9,437-39-5677,1932.3
Margarette Maillard,46,88,499-12-4162,4048
Evelin MacGahy,65,121.5,321-90-7687,7897.5
Damien Cantor,6,159.4,454-28-8178,956.4
Parrnell Athy,34,30.6,721-84-1316,1040.4
Adria Brittan,63,100.1,779-29-1323,6306.3
Sena Heaps,93,87.1,849-45-8147,8100.3
Claudine Remmers,42,130.2,655-43-1265,5468.4
Winona Delaprelle,34,80,586-24-3351,2720
Hilde Haslewood,64,118.3,201-49-0840,7571.2
Gaby Olek,33,115.2,895-73-4208,3801.6
Tucky Concklin,80,38.1,282-77-9385,3048
Amalea Carmody,36,103.5,140-40-2794,3726
Jarrod Tremaine,10,83,644-01-3440,830
Ediva Cokely,93,6.4,611-12-4017,595.2
Fulton Deniset,7,13.9,863-72-9599,97.3
Nerty Karsh,44,62,109-15-4561,2728
Marnie Aldwinckle,35,19.2,210-74-9494,672
Latrina Clampin,24,105,419-33-7721,2520
Ann-marie Ziemsen,64,137.8,400-18-0838,8819.2
Jimmy Nystrom,56,76.4,537-95-5120,4278.4
Web Rozier,46,9.9,671-26-2765,455.4
Cthrine Cowland,20,115.3,848-03-3955,2306
Selma Blench,27,13.2,155-06-2766,356.4
Nadean Collinson,94,60.3,810-59-3327,5668.2
Romola Heyburn,40,99.2,788-60-7762,3968
Gavra Rewan,72,70.2,778-73-9763,5054.4
Cad Mangeot,97,131.4,741-92-3314,12745.8
Tobe Powers,100,38.5,855-36-1199,3850
Chase Tookey,39,104.5,811-81-1031,4075.5
Grover Gentry,44,151.3,336-51-3953,6657.2
Aylmar Wyldes,35,108.5,845-20-5525,3797.5
Yank Salman,54,55.6,264-72-3581,3002.4
Van Poile,30,152.8,121-64-7727,4584
Darren Zuker,41,37.2,776-86-5815,1525.2
Rea Thirst,29,25.6,400-82-0540,742.4
Tildi Rengger,51,68.4,811-26-8902,3488.4
Anna-maria Yanyshev,58,28.6,218-70-2879,1658.8
Hallsy Hiddy,25,123.2,772-42-0149,3080
Jasmine Braney,15,151.6,578-97-1242,2274
Phylis Bernet,93,87.4,802-83-1276,8128.2
Steve Brownsworth,78,120.6,216-82-1590,9406.8
Forster Childes,57,154.9,489-03-2306,8829.3
Budd Collishaw,27,69.7,405-19-7714,1881.9
Regina Wheatcroft,97,27.9,189-87-6405,2706.3
Ross Heifer,89,129.2,394-20-8505,11498.8
Kendrick Throughton,94,35.9,437-02-7817,3374.6
Jasen Lemarie,47,41.9,743-41-5006,1969.3
Koren Petrolli,19,49.8,318-23-7009,946.2
Stacie Weald,11,51.6,109-39-5503,567.6
Ross Leckie,51,7.4,826-30-2815,377.4
Carri BoHlingolsen,53,73.1,234-04-9128,3874.3
Kirstin Thatcham,31,65,842-15-9332,2015
Lorry Ilchuk,54,37.2,819-49-1570,2008.8
Arabel Axel,37,134.1,188-44-6800,4961.7
Rosco Lantaph,53,68,344-50-8075,3604
Payton Venney,46,142.7,879-80-2475,6564.2
Rickert Guiot,57,68.4,246-08-4210,3898.8
Yorgos Renton,78,101.8,507-69-7061,7940.4
Wallache Gerold,92,144.6,346-12-6993,13303.2
Leonhard Nund,44,116.5,389-21-1259,5126
Kial Inderwick,79,120.1,419-97-2349,9487.9
Estell Calbrathe,16,126.9,561-50-5013,2030.4
Franny Bilfoot,80,59.3,137-28-2464,4744
Pennie Cleugher,17,28.8,425-56-9119,489.6
Selinda Bischop,21,60.7,418-22-0522,1274.7
Andra Meffan,32,125.1,459-18-9009,4003.2
Araldo Jauncey,10,45.2,534-31-5836,452
Jo-ann Le Leu,75,17.9,238-86-3510,1342.5
Friederike Barwell,18,18.2,260-59-8874,327.6
Grannie Stidston,19,123,637-33-9019,2337
Freeman Dedden,76,119,523-15-7146,9044
Janek Kik,18,148.8,478-17-6459,2678.4
Francois Hortop,97,106.9,351-70-5050,10369.3
Sholom Gleeton,32,139.9,406-81-2000,4476.8
Willard Alcido,81,41.2,450-80-1732,3337.2
Howard Gilhool,22,12.5,899-22-3132,275
Shelia Lodwig,32,39.1,334-75-6701,1251.2
Benedikta Oliveto,45,68.4,891-70-8816,3078
Angelique Staley,3,64.3,714-63-7876,192.9
Sherilyn Buxcey,23,123.7,317-68-3247,2845.1
Hedvig Yuryev,100,33.9,270-51-0081,3390
Patricia McBratney,39,114.8,791-80-3686,4477.2
Shea Buff,69,79.4,132-25-6217,5478.6
Annabella Sidnell,82,56.7,888-25-6023,4649.4
Fredericka Bogie,98,86.4,543-02-1556,8467.2
Corty Shackel,47,3.1,600-08-3052,145.7
Demetris Templeton,77,84.2,658-30-0402,6483.4
Tish Rodson,2,97,889-97-0693,194
Berny Kornyshev,54,4.7,885-09-7451,253.8
Lorrin Demead,33,131.4,358-29-9947,4336.2
Mireielle Lapping,96,152.3,542-31-4019,14620.8
Idalina Ghelarducci,96,68.3,481-57-6710,6556.8
Issiah Pippard,10,98,481-93-9257,980
Avrit Slaight,22,13,332-39-8029,286
James Grigaut,92,88.5,793-46-4429,8142
Davie Schultes,9,92.9,135-89-9695,836.1
Camile Sheen,29,28.2,716-69-8888,817.8
Cly Ioselev,15,89.1,583-80-2488,1336.5
Clemmy Suggett,79,85.5,493-44-8236,6754.5
Parke Raymen,66,100,504-21-2415,6600
Winnie McWaters,46,64.5,740-79-5608,2967
Goldia Brunke,94,18.3,788-27-3512,1720.2
Merry McGarahan,79,1,317-54-4087,79
Mark Kusick,48,92,773-26-2974,4416
Adolphus Yegorev,23,36.6,680-37-3255,841.8
Woodman Over,88,3.8,501-25-2663,334.4
Maryanna Pawson,33,90.6,792-96-6559,2989.8
Maegan Wyon,75,20.5,484-63-1395,1537.5
Liva Hengoed,64,111.4,793-22-7971,7129.6
Darcey Freyne,10,98.8,182-18-1595,988
Timofei Landsman,3,114.3,233-10-1533,342.9
Kinnie Larvin,59,18,448-68-1520,1062
Garvy Lestor,70,99.6,319-99-1638,6972
Johnnie McPhail,60,120.1,842-60-9810,7206
Terrye Palser,17,33.2,442-15-6842,564.4
Sylas McLinden,49,52.2,495-15-4709,2557.8
Emiline Chasmor,25,133.9,141-51-7830,3347.5
Bernetta Briscoe,37,47.3,251-41-0198,1750.1
Zared Sharp,28,27.7,863-44-8731,775.6
Sherwood Petkovic,52,141.7,447-25-8970,7368.4
Brenden Risdale,45,67.7,524-76-7719,3046.5
Obed Luigi,29,23.9,558-63-9465,693.1
Guido Cuningham,82,32.1,505-87-2011,2632.2
Alden Twelvetree,83,14.9,609-95-5224,1236.7
Gideon Fogden,89,68.1,668-68-2372,6060.9
Donalt Campelli,69,98.9,417-10-5399,6824.1
Fayette Casolla,63,145.3,645-21-1719,9153.9
Evaleen Poznan,91,66,839-32-8888,6006
Margit Inkpin,26,95.1,774-71-0944,2472.6
Teresita Clemence,91,38.6,435-35-3342,3512.6
Clo Yerby,34,100.3,366-29-2343,3410.2
Allister Margiotta,76,117.9,295-63-9742,8960.4
Corie Lamborn,5,28,801-15-2124,140
Tawsha Steinson,69,20.9,695-89-6642,1442.1
Mufinella Killerby,2,144.9,773-59-6994,289.8
Maynord Ambrosi,95,90.1,349-59-4675,8559.5
Adey Derges,58,44.4,249-45-7907,2575.2
Beck Kleisel,23,117,352-31-7338,2691
Gnni Been,27,83.2,517-65-1297,2246.4
Marwin Dudin,48,57.5,628-03-1967,2760
Benedikta Mallya,80,123.2,181-78-9557,9856
Maire Libbie,79,45.6,599-64-9296,3602.4
Jessey Bassano,12,39.7,686-81-8052,476.4
Dario Cantero,91,94.4,254-37-5022,8590.4
Yul Slidders,57,58.6,519-29-1143,3340.2
Joellen Beurich,27,50.6,737-27-3872,1366.2
Kingsly Morton,62,10,803-27-0480,620
Garrot Caulcutt,25,30.7,807-44-3565,767.5
Sherlock Swatheridge,29,28.4,579-01-0430,823.6
Brigida McMorland,75,62,698-39-8592,4650
Leonore Spratling,13,52.7,899-33-8096,685.1
Cob O'Sharkey,63,12.4,101-25-0077,781.2
Chantal Frankiewicz,9,127.8,448-61-4527,1150.2
Nariko Ramme,15,98.5,858-24-7395,1477.5
Carlin Veschi,5,129.9,291-88-5364,649.5
Talia Wharlton,75,157.8,399-12-0864,11835
Alex Glassup,72,15.7,861-06-1879,1130.4
Kennith Michie,21,19.9,263-44-8091,417.9
Honor Edser,6,56.6,521-76-8968,339.6
Jareb Nafzger,61,83.3,715-98-7245,5081.3
See Hilley,72,53.1,402-64-5702,3823.2
Lynett Wiszniewski,78,53.6,174-72-6783,4180.8
Pieter Scotchmor,24,133.2,757-70-9932,3196.8
Terrance Tissiman,23,141,661-83-2527,3243
Modesty Vasiliu,26,24.1,769-36-1725,626.6
Reinhold McKevany,16,28.5,646-47-7966,456
Si Conan,43,121.9,183-57-2746,5241.7
Lorette Levett,22,60.4,191-94-1977,1328.8
Shoshanna Dommersen,3,41.9,867-76-9933,125.7
Daniel Prall,64,101.1,569-19-5903,6470.4
Darci Durak,34,101.3,457-48-4967,3444.2
Wilfrid Basile,100,84.6,647-14-0619,8460
Elsbeth Channer,33,1.4,683-09-2809,46.2
Kania Merigot,19,110.5,816-74-4343,2099.5
Annalise Easthope,89,23.7,623-99-4676,2109.3
Trey Baldam,57,95.9,188-77-3712,5466.3
Vinnie Clowley,32,124.2,550-37-3401,3974.4
Mechelle Lello,66,30.8,752-85-6924,2032.8
Perl Reame,64,9.4,822-86-5951,601.6
Leena Brealey,40,82.4,759-06-7684,3296
Bernice Barents,53,6.3,469-39-0581,333.9
Kipper Bailiss,54,67.1,555-28-0047,3623.4
Katerine Pretty,65,5.8,887-40-7427,377
Rina Millen,74,44.9,752-09-8221,3322.6
Rachelle Cranshaw,63,30.8,826-80-2148,1940.4
Lisette Vaggers,41,21.7,685-72-5102,889.7
Celisse Nawton,46,87.4,512-36-8215,4020.4
Dael Kidston,86,58,510-53-4484,4988
Jori Lockart,35,105.1,580-75-5082,3678.5
Inigo Sorrell,16,23.7,699-41-0055,379.2
Joletta O'Sculley,96,40,624-13-4795,3840
Neely Rofe,71,158,376-74-9609,11218
Alisha Fumagall,75,120.4,331-97-0273,9030
Redd Kliemann,38,98,585-86-8567,3724
Colby Sedgemore,84,109.2,582-07-1799,9172.8
Barbie Mitskevich,33,131.9,626-13-3420,4352.7
Levy Holburn,98,20,835-49-1844,1960
Teodor Whales,8,148.2,885-95-1746,1185.6
Alysa Feavearyear,49,11.4,556-66-1602,558.6
Kennedy Fleis,100,136.2,814-07-8960,13620
Galvan Riches,68,69.5,646-40-5126,4726
Aldous Clara,61,108.3,102-57-7629,6606.3
Virgilio Hammersley,55,47.6,649-36-9935,2618
Tyrone Marchington,59,6.3,111-21-5751,371.7
Cammi Stedson,50,139.8,450-19-8788,6990
Adora Conford,57,90,673-17-4099,5130
Norene Sandal,67,108.6,248-03-7594,7276.2
Eugenio Fawdrey,6,121.8,177-59-7867,730.8
Cordell Danzey,89,42.8,179-84-2591,3809.2
Willette Bleckly,74,145.9,845-19-8650,10796.6
Marlane Delaney,19,37.5,852-25-9604,712.5
Costanza Golt,55,152.2,754-41-8620,8371
Dinnie Schapero,23,77.8,102-51-2762,1789.4
Lorena Itzcovichch,19,12.2,872-56-6106,231.8
Quint Maddocks,66,85.3,711-30-9518,5629.8
Heall Thorrold,24,112.1,784-49-3451,2690.4
Priscilla Laurenty,19,87.2,636-87-9399,1656.8
Errick Forsyde,35,156.4,485-33-2438,5474
Kamila Fittis,76,127.4,869-13-4809,9682.4
Ty Sigfrid,87,104.7,508-44-0071,9108.9
Brion Schutter,1,56.3,198-06-8466,56.3
Jeniffer Doncaster,35,52.3,200-97-0816,1830.5
Garvey O'Bradain,17,95.3,301-93-9358,1620.1
Eldridge Joye,95,58.2,564-82-4551,5529
Didi Ifill,3,149,735-36-8521,447
Ainsley Chatain,98,109.4,253-66-7089,10721.2
Ephraim Karsh,41,17.8,540-48-0783,729.8
Domenic Heiner,66,67.1,616-92-6033,4428.6
Clarette Costelloe,74,94.7,543-49-6538,7007.8
Moishe McClenan,15,60.4,110-77-5057,906
Kara Rummery,46,16.2,196-96-5582,745.2
Hastie Shipton,78,95.7,558-41-0137,7464.6
Filmer Ager,19,71.9,216-76-3326,1366.1
Amandy Swiggs,9,145.6,563-32-3865,1310.4
Bess Rubberts,19,123.9,544-61-1664,2354.1
Neilla Creffeild,58,157.4,774-01-3519,9129.2
Brig Jone,57,107.2,421-21-1698,6110.4
Myrna Egginton,79,155.8,114-33-8084,12308.2
Theressa Tunna,3,106.5,326-92-4055,319.5
Barbabas Blaymires,80,22,842-08-9052,1760
Miller Dorbin,58,29,134-18-3837,1682
Ora Leipoldt,44,51.7,589-53-1652,2274.8
Lezley Halahan,66,73.3,209-38-7844,4837.8
Francesca Stembridge,36,36,273-50-1882,1296
Alis Haddon,60,2.8,325-13-7213,168
Haily Piddletown,76,58.7,249-28-8022,4461.2
Emmit Libero,41,86.2,291-75-9843,3534.2
Aloysius Farley,36,28.4,522-85-5963,1022.4
Cherida Pargeter,57,40,357-57-2270,2280
Lory Jacklings,25,59.6,721-74-0907,1490
Dorri Meffin,5,12.8,662-38-1331,64
Gasper Thrustle,84,111.3,108-80-9919,9349.2
Kelbee Shilleto,50,90.8,478-86-5206,4540
Dorise M'cowis,7,78.5,774-10-6822,549.5
Jacinta Munt,91,155.9,782-05-2807,14186.9
Jere Olyfant,63,42.6,250-28-3177,2683.8
Carlie Fynan,45,59.5,864-72-2163,2677.5
Karoly Deveril,97,37.1,108-67-2677,3598.7
Garek Tregoning,32,108.7,435-43-4035,3478.4
Bil Crack,42,133.8,526-67-3657,5619.6
Alex Perkis,60,153.1,623-60-8324,9186
Caria MacFarland,62,152.6,644-03-9620,9461.2
Bennie Bullent,74,51.3,672-67-5244,3796.2
Car Sollis,94,15.9,144-08-6419,1494.6
Koralle Kempe,6,75.5,210-85-3172,453
Mindy Rowden,22,90.8,357-92-6548,1997.6
Ynez Paskell,6,43.7,702-31-1787,262.2
Roosevelt Kemston,69,146.4,668-23-6156,10101.6
Rickard Hallford,78,94.3,558-02-3288,7355.4
Jocelyn McCrillis,60,11.7,648-80-5744,702
Alethea Moakler,86,76.1,391-81-9718,6544.6
Davida Kuscha,1,90.4,165-35-1386,90.4
Rahel Dadswell,46,97.6,695-16-4804,4489.6
Wilone Yter,4,34.2,486-23-1636,136.8
Brennen Headly,70,131.9,548-77-8686,9233
Reinaldos Kitson,39,39.5,784-99-4292,1540.5
Tony Hedley,58,61.5,230-97-9466,3567
Kermit Charrington,38,36.2,625-28-9076,1375.6
Toinette Colledge,2,47.5,880-01-4717,95
Cobby Flancinbaum,59,2.7,812-66-7556,159.3
Zora Hyndson,50,62,504-39-4549,3100
Angeli Korba,19,46.4,388-54-4054,881.6
Sherye Ebdin,49,26.8,835-90-3185,1313.2
Catherine Petras,85,48.1,728-22-9271,4088.5
Darbee Dowderswell,94,77.1,351-72-8740,7247.4
Vitia Presley,2,30,572-61-1768,60
Hayden Longthorne,57,1.1,507-36-1550,62.7
Gaven Belle,72,86.1,231-83-3827,6199.2
Jeff Mussen,67,117.1,138-17-8744,7845.7
Toby Puzey,81,157.9,842-15-7118,12789.9
Ximenes Veelers,89,17.8,764-67-6142,1584.2
Ardath Shellsheere,28,138.7,266-01-7887,3883.6
Constantin Kocher,52,71.2,292-78-4869,3702.4
Arlyne Pardy,19,110.4,116-90-0419,2097.6
Dillon Geratt,52,51.1,542-91-3762,2657.2
Juli Tommei,72,33.7,776-25-0868,2426.4
Constantia Davers,9,134.8,233-28-3345,1213.2
Eben Bruck,4,83.4,563-91-7674,333.6
Dannye Culpan,46,133.2,667-95-2498,6127.2
Cherianne Oats,85,117.1,754-06-6673,9953.5
Angie McAvey,15,120.1,137-82-7245,1801.5
Avie Sandels,98,6.7,780-08-5757,656.6
Josey Gillbee,43,52.9,598-60-2705,2274.7
Rena Worboys,58,20.1,839-52-3190,1165.8
Adrian Hakonsson,46,124.4,268-90-7735,5722.4
Augy Viney,47,43.6,159-58-2654,2049.2
Letti Duinbleton,42,3.8,880-41-2494,159.6
Bernadene Langham,29,13.8,131-99-8501,400.2
Janice Bee,84,68,803-61-4659,5712
Clemmy Okell,31,153.5,532-74-9925,4758.5
Lanny Warratt,58,102.6,602-90-7023,5950.8
Tiphani Velez,93,145.6,505-93-7145,13540.8
Tymon Di Angelo,49,57.6,424-21-2278,2822.4
Abeu Cramp,91,147.8,528-36-9584,13449.8
Billie Alderman,87,128.8,295-91-3802,11205.6
Lanny Serjeant,75,126,135-65-9632,9450
Rikki Whittock,71,33.7,688-01-3625,2392.7
Derek Aizic,49,60,589-32-2820,2940
Neila Clemetts,99,19.5,214-52-0720,1930.5
Sonja Downey,91,134.3,600-96-1271,12221.3
Orv Burth,100,53.8,696-18-8617,5380
Hamish Donke,67,99.1,855-76-0039,6639.7
Tiffanie Scambler,66,98.3,408-38-6154,6487.8
Florance Urlin,78,72.8,770-99-8718,5678.4
Demetrius Baldassi,18,137.9,791-19-9276,2482.2
Clara Grafom,61,8.8,271-96-4415,536.8
Cleon MacGibbon,97,61,824-51-0836,5917
Sondra Grishanin,29,108.7,761-70-8626,3152.3
Vittorio Service,78,32.6,832-35-2045,2542.8
Lindsey Osborn,91,110.9,569-51-2029,10091.9
Sutherland Odam,47,64.7,111-26-3307,3040.9
Frank Peirson,93,65.3,391-88-2450,6072.9
Kanya Oldfield-Cherry,82,95.9,711-11-6609,7863.8
Bennie Klemt,11,7.1,789-22-1327,78.1
Jammal Lingwood,42,51.6,678-86-8918,2167.2
Sigismundo Ofener,85,3.1,248-90-3820,263.5
Issiah Matskevich,44,122,692-18-2071,5368
Gaultiero Keoghane,67,116.7,579-85-7683,7818.9
Celene Cornwall,62,98.3,697-85-6895,6094.6
Griffy Knell,4,145.2,696-81-1120,580.8
Fawnia Kirkup,18,21.5,656-32-2391,387
Jerome Geindre,85,5.7,677-50-4893,484.5
Brinna Bowle,78,51.3,600-68-4253,4001.4
Kylila Willcot,22,29.8,664-67-7281,655.6
Helyn Graalmans,90,23.7,791-94-5555,2133
Grazia Delagua,97,39.3,873-23-1728,3812.1
Willyt Crumb,49,45.3,587-77-0870,2219.7
Merissa Simanek,50,63.3,830-85-3639,3165
Jennie Jankovsky,3,98.2,320-56-1061,294.6
Bella Batsford,72,101.2,206-71-4154,7286.4
Horton Sabater,9,16.3,703-61-5583,146.7
Colet Goodrich,31,53.5,508-86-7124,1658.5
Gypsy Jeary,86,124.6,438-76-5584,10715.6
Matelda Robion,66,91.7,784-92-2433,6052.2
Kennan Hook,73,119.4,317-49-8427,8716.2
Jeana Piccop,2,86.5,791-28-0125,173
Berkley Donan,59,70.2,601-82-7489,4141.8
Drucie Northgraves,97,54.6,235-55-9767,5296.2
Garrick Corrington,91,61,777-26-0399,5551
Georgiana Meeks,6,122.3,828-86-7013,733.8
Bren Bushell,17,127.1,511-27-3776,2160.7
Allan Yaakov,29,59.7,445-88-8208,1731.3
Gretel Donnersberg,79,125.6,197-93-3952,9922.4
Binny Widdison,12,120,338-27-6579,1440
Obadias Febre,84,155.9,855-30-8504,13095.6
Bren Sieve,64,97.1,358-94-2935,6214.4
Dore O'Giany,63,29.4,325-88-0861,1852.2
Caro Fitzpatrick,85,34.9,451-74-8798,2966.5
Keene Aikin,59,57.8,419-32-5472,3410.2
Kienan Schapiro,72,121.5,639-19-1651,8748
Bev Folini,6,96.2,729-57-6970,577.2
Tremaine Adolthine,39,32.9,458-22-2115,1283.1
Amandie Warkup,67,56.3,492-32-2600,3772.1
Eldredge Jekyll,88,2.8,151-32-6124,246.4
Rina Chatters,23,22.4,406-52-4810,515.2
Jayson Covotti,32,82.8,586-06-8081,2649.6
Aubert De Gowe,7,115,723-64-7851,805
Lorilee Gounin,5,103.3,742-13-2440,516.5
Kaycee Keford,46,137.5,147-37-4108,6325
Marven Bohl,41,99.9,111-27-1712,4095.9
Jamey Whines,55,29.3,227-87-5666,1611.5
Katha Shoebrook,42,137.7,181-24-6859,5783.4
Samaria Rapaport,31,137,317-24-7631,4247
Ingrid Wheeldon,32,86.3,326-46-8816,2761.6
Alf Nast,1,41.2,343-60-3641,41.2
Wilfred Chatel,86,147,489-40-1528,12642
Rudyard MacGorrie,83,37.4,614-18-9072,3104.2
Candide Gatty,12,98.3,357-90-5711,1179.6
Ula Standley,26,51.3,389-36-5252,1333.8
Merline Lafoy,7,154.2,154-88-2228,1079.4
Randell Woltman,1,11.1,438-58-7940,11.1
Chelsae Khrishtafovich,63,113.8,793-70-8143,7169.4
Estrella Eastup,86,100,101-43-8728,8600
Jehanna Wiggall,42,58,523-18-9312,2436
Bibi Peirazzi,37,47.7,881-97-3328,1764.9
Tobi Conahy,87,140.3,117-22-5367,12206.1
Donnajean Lankester,44,140.9,169-46-6227,6199.6
Netty McCrohon,4,91.3,867-94-6208,365.2
Maddie Laughren,91,103.8,821-10-5695,9445.8
